title,upload_date,video_id,viewCount,likeCount,commentCount,durationMs
"Peace up✌️, A-Town down😎 Usher IN DA HOUSE #대우주팝스타어셔앤드정국 #정국 #JungKook #StandingNextToYou",2023-12-15T05:45:08Z,nxMdl-i5xRk,1201392,232413,2127,PT51S
Jung Kook X Usher🔥 POM-MI-CHUT-DA🤯 #어셔가말아주는스넥유어떤데 #정국 #JungKook #StandingNextToYou,2023-12-15T05:30:21Z,JZ4XKdcw5oc,5266289,707311,5660,PT46S
"정국 (Jung Kook), Usher ‘Standing Next to You - Usher Remix’ Official Performance Video",2023-12-15T05:00:04Z,O1d2DYZZrek,13899445,1042404,39069,PT3M50S
정국 (Jung Kook) ‘Seven (feat. Latto)’ Promotions Sketch,2023-12-14T10:00:01Z,9gjMza8CMvU,1315348,221700,5694,PT16M26S
‘BEYOND THE STAGE’ BTS DOCUMENTARY PHOTOBOOK : THE DAY WE MEET Official Trailer,2023-12-13T15:00:03Z,7My1Odq1wrY,629157,161544,3426,PT50S
"[BANGTAN BOMB] RM, Jimin, V, Jung Kook’s Entrance Ceremony with BTS - BTS (방탄소년단)",2023-12-13T10:00:03Z,_p8tLsvqFYg,4555318,703601,36168,PT3M45S
'BTS Monuments: Beyond The Star' D-7 #BTS_Monuments_BeyondTheStar #BTS_모뉴먼츠_비욘드더스타,2023-12-13T03:00:32Z,mmrLHfKyiQs,439688,138016,1722,PT15S
"정국 (Jung Kook), Usher ‘Standing Next to You - Usher Remix’ Official Performance Video Teaser",2023-12-12T15:00:01Z,fBgs4BQNFCU,2433196,401802,10581,PT35S
정국 (Jung Kook) 'Hate You' @ iHeartRadio LIVE,2023-12-10T06:00:02Z,5koQ2v3HusI,1993115,285871,9532,PT2M38S
'BTS Monuments: Beyond The Star' Special Trailer,2023-12-08T12:59:58Z,eXUZ0hEtEFs,1112939,222953,5738,PT1M37S
[#슈취타] 오늘 하루도 힘들었다면 슈취타와 함께 극-뽁 🙌 - EP.23 #SUGA with #김남길,2023-12-04T13:31:13Z,ZBJiH98uvPo,372747,79819,688,PT58S
[슈취타] EP.23 SUGA with 김남길,2023-12-04T13:00:09Z,6QSdJM3wGSM,1055195,106435,3573,PT27M50S
[n월의 석진] Message from Jin : Dec 2023 💌,2023-12-04T09:12:59Z,108aIlqAAE8,1440441,371200,25291,PT3M12S
"[BANGTAN BOMB] Jimin’s Production Diary ""SPECIAL TALK with. Jimin"" Behind - BTS (방탄소년단)",2023-11-30T11:00:02Z,0H40NNtSbPM,874116,162517,5426,PT10M
TWS (투어스) FIRST TIME : 06 : HANJIN,2024-01-03T15:00:25Z,4-6YTELs17A,48932,8403,280,PT1M33S
TWS (투어스) FIRST TIME : 05 : JIHOON,2024-01-03T15:00:22Z,gseTKZATbGQ,40780,8695,438,PT1M28S
TWS (투어스) FIRST TIME : 04 : KYUNGMIN,2024-01-03T15:00:17Z,vzGHoYmd71E,33137,6880,171,PT1M27S
TWS (투어스) FIRST TIME : 03 : YOUNGJAE,2024-01-03T15:00:12Z,N6p6sFrhVzU,56370,10438,231,PT1M37S
TWS (투어스) FIRST TIME : 02 : SHINYU,2024-01-03T15:00:08Z,p7hQT_eXgus,60225,11144,389,PT1M7S
TWS (투어스) FIRST TIME : 01 : DOHOON,2024-01-03T15:00:03Z,kS67hJ9pPCY,56569,10806,265,PT1M4S
TWS (투어스) Prologue 'Oh Mymy : 7s',2024-01-02T09:00:05Z,AAW49YRjPBM,173905,26507,346,PT37S
TWS (투어스) Prologue 'Oh Mymy : 7s',2024-01-02T09:00:01Z,YPg1sA0qNpo,1679838,114221,6447,PT6M2S
지민 (Jimin) 'Closer Than This' Official MV,2023-12-22T05:00:02Z,zzKV_T9ybe8,10726139,1598984,122019,PT4M25S
TWS (투어스) OFFICIAL LOGO MOTION,2023-12-20T15:00:01Z,0vcEJ-d-7Yw,398403,34895,4996,PT31S
HYBE T&D Stories | Part 05 We are T&D,2023-12-19T08:01:13Z,P4T0jqMDN8Y,332066,45600,978,PT4M24S
HYBE T&D Stories | Part 04 WE BELIEVE IN MUSIC,2023-12-19T08:00:54Z,EVI3_yxItaY,248234,25860,470,PT6M19S
HYBE T&D Stories | Part 03 Beyond Natural Talent,2023-12-19T08:00:34Z,RZe6z0fDnn4,298514,33106,607,PT5M15S
HYBE T&D Stories | Part 02 First time as a trainee,2023-12-19T08:00:19Z,LQJReonDiqo,306897,32584,561,PT5M18S
HYBE T&D Stories | Part 01 Farewell after debut,2023-12-19T08:00:01Z,71y2xhHOj98,722359,101424,2221,PT6M27S
NewJeans (뉴진스) 20231219,2023-12-14T15:00:00Z,zIfUiwtCTtY,881673,85194,2371,PT26S
정국 (Jung Kook) 'Hate You' Official Visualizer,2023-12-09T05:00:02Z,tAcKfnf0zv4,13492353,1480740,51324,PT2M38S
백호 (BAEKHO) ‘What are we (Feat. 박지원 of 프로미스나인)’ Official Visualizer,2023-12-07T09:00:04Z,oCwgkBrRivI,146066,11729,624,PT3M3S
백호 (BAEKHO) ‘What are we (Feat. 박지원 of 프로미스나인)’ Mood Film,2023-12-03T15:00:20Z,S4qmOjQpA2U,66190,9830,101,PT39S
백호 (BAEKHO) ‘What are we (Feat. 박지원 of 프로미스나인)’ Mood Film,2023-12-03T15:00:04Z,VuPSGlFz1Xo,100771,8611,281,PT39S
ENHYPEN (엔하이픈) 'Orange Flower (You Complete Me)' Official Track Video (Memories of youth),2023-12-03T14:00:01Z,iwBfCHvFzPU,972503,122355,3422,PT3M7S
&TEAM ‘Dropkick’ Official MV,2023-11-29T15:00:03Z,dZF8pPyqL9g,100802,15455,184,PT35S
&TEAM ‘Dropkick’ Official MV,2023-11-29T15:00:01Z,AWawgm20UBc,5970136,84330,6767,PT3M15S
&TEAM ‘Dropkick’ Official MV Teaser,2023-11-28T15:00:02Z,bo-VOm4xa0o,162572,21077,853,PT30S
DINO 'Wait' Official MV,2023-11-27T09:00:00Z,J--BukW5BfQ,2696446,329327,21854,PT2M43S
DINO 'Wait' Official Teaser 2,2023-11-23T15:00:05Z,WAHhilyRsYY,89730,17720,164,PT15S
DINO 'Wait' Official Teaser 2,2023-11-23T15:00:01Z,1G1mISM3STs,319013,50162,1655,PT15S
LE SSERAFIM (르세라핌) 'Perfect Night (Holiday Remix)' Official Visualizer,2023-11-23T04:58:09Z,Uf4nGafC-zw,999844,56724,1484,PT2M43S
ENHYPEN (엔하이픈) 'Sweet Venom (feat. Bella Poarch)' Official Visualizer,2023-11-22T15:00:05Z,tEOa4K0JYPY,457193,63946,1259,PT2M32S
DINO 'Wait' Official Teaser 1,2023-11-22T15:00:03Z,gNadj7NhNiw,116130,20115,275,PT27S
Drew House TOKYO #shorts,2022-11-21T16:29:07Z,z5AIMF1BjOE,1587825,38297,3325,PT42S
Justin Bieber X Free Fire - Beautiful Love (Free Fire) [Official Video],2022-09-18T13:00:18Z,_lpSCOZ1PCo,7601759,280767,11340,PT3M33S
"Justin Bieber, Don Toliver - The Making of 'Honest' (Vevo Footnotes)",2022-06-15T16:00:17Z,ZMH9AMwAk34,4379022,102978,4950,PT3M32S
#shorts,2022-05-31T17:54:49Z,-78y2WW4YDA,1432274,83964,1765,PT11S
"May 13, 2022",2022-05-13T16:28:59Z,UWrBS-4pSfM,1341392,54302,924,PT4S
Justin Bieber - Honest (feat. Don Toliver) (Official Lyric Video),2022-04-29T16:00:34Z,jur26nGiqOY,2599340,87783,3418,PT3M14S
Justin Bieber - Honest ft. Don Toliver,2022-04-29T04:00:17Z,n1khwOk5dN8,37323095,623998,27321,PT3M32S
"April 24, 2022",2022-04-24T17:17:21Z,Bv3LvcQjWlI,1236121,81427,1743,PT13S
Sometimes life slaps you in the face,2022-04-15T22:32:48Z,xVzJSUpp9L4,847665,50056,1414,PT6S
Come into my world 🌎,2022-04-13T16:07:59Z,Zxxl386UQqo,589030,51001,1044,PT1M1S
"April 2, 2022",2022-04-03T01:46:36Z,aUqQghE4yKI,584681,52185,892,PT16S
"You're my rock, my Colorado",2022-03-25T17:09:59Z,DrsBNM6iqak,840063,71574,1232,PT38S
Justin Bieber - The Justice Tour Represents Equality for ALL,2022-03-09T21:45:07Z,5MQzBE-KJVY,1354913,71051,3051,PT3M24S
Justin Bieber & Omah Lay - Attention (Official Video),2022-03-04T05:00:19Z,kF4QRGQM2ig,10472168,342400,13249,PT3M8S
Justin Bieber - Only Thing I Ever Get For Christmas (Lyric Video),2021-12-15T21:00:20Z,QrV1I0L5rqQ,2712877,83193,2840,PT3M13S
Justin Bieber - Silent Night (Lyric Video),2021-12-15T17:00:40Z,qy-1tyX9_QU,1015384,44014,1826,PT2M50S
Justin Bieber - Christmas Eve (Lyric Video),2021-12-14T21:00:17Z,f5wl2uo8dGU,879161,42709,1816,PT3M48S
